,Gene_symbol,Entrez_ID,Value_count
0,CCT6P1,643253,1930
1,STAG3L4,64940,1805
2,ZNF117,51351,1668
3,LOC399744,399744,1437
4,FAM182B,728882,1435
5,BTN3A2,11118,1377
6,LOC168474,168474,1340
7,GUSBL2,375513,1290
8,TYW1,55253,1273
9,LOC84856,84856,1224
10,C2orf74,339804,1219
11,ZNF781,163115,1160
12,ZSCAN23,222696,1073
13,NUDT2,318,1056
14,GYPE,2996,1031
15,WFDC3,140686,1006
16,MANBA,4126,964
17,C10orf32,119032,963
18,CCDC163P,126661,962
19,LOC493754,493754,955
20,TSGA10,80705,937
21,INTS4L1,285905,919
22,MASTL,84930,852
23,AHSA2,130872,850
24,LIPT1,51601,844
25,COL21A1,81578,844
26,C2orf86,51057,805
27,CRCP,27297,797
28,SYT10,341359,788
29,C21orf57,54059,775
30,ERAP2,64167,775
31,TEX264,51368,770
32,LOC441666,441666,770
33,SNHG5,387066,768
34,COX7A2L,9167,763
35,CENPQ,55166,751
36,N6AMT1,29104,749
37,NCRNA00189,193629,742
38,C6orf164,63914,740
39,OXCT1,5019,723
40,PSG4,5672,721
41,C1orf190,541468,720
42,CPNE1,8904,709
43,FAM182A,284800,707
44,UCA1,652995,687
45,C10orf68,79741,672
46,DDX11L2,84771,667
47,OR7D2,162998,665
48,DHFR,1719,661
49,ZNF492,57615,655
50,SLC2A9,56606,648
51,MUT,4594,646
52,POLI,11201,646
53,CLECL1,160365,644
54,ZNF266,10781,630
55,ERAP1,51752,629
56,LY75,4065,622
57,GLIPR1L2,144321,617
58,ZNF323,64288,616
59,MUTYH,4595,607
60,CST7,8530,599
61,ZNF846,162993,596
62,C21orf56,84221,595
63,GTF2A1L,11036,593
64,LOC375190,375190,584
65,NLRC4,58484,578
66,ZNF793,390927,578
67,FLJ45340,402483,571
68,XKR9,389668,567
69,RGPD4,285190,565
70,FAHD1,81889,565
71,LOC90784,90784,560
72,MSH3,4437,559
73,OR2A7,401427,559
74,CYP4F11,57834,556
75,EVI5,7813,556
76,EFHB,151651,548
77,ST3GAL5,8869,548
78,LGSN,51557,540
79,DYM,54808,534
80,TBCK,93627,533
81,GMPPB,29925,533
82,SERPINC1,462,532
83,CTSS,1520,529
84,CST1,1469,527
85,ARHGEF35,445328,527
86,SENP7,57337,524
87,HIBCH,26275,523
