"Gene_symbol"	"Entrez_ID"	"Value_count"	"hgnc_symbol"	"ensembl_gene_id"	"chromosome_name"
"1"	"CCT6P1"	643253	1930	NA	NA	NA
"2"	"STAG3L4"	64940	1805	"STAG3L4"	"ENSG00000106610"	"7"
"3"	"ZNF117"	51351	1668	"ZNF117"	"ENSG00000152926"	"7"
"4"	"LOC399744"	399744	1437	NA	NA	NA
"5"	"FAM182B"	728882	1435	NA	NA	NA
"6"	"BTN3A2"	11118	1377	"BTN3A2"	"ENSG00000186470"	"6"
"7"	"LOC168474"	168474	1340	NA	NA	NA
"8"	"GUSBL2"	375513	1290	NA	NA	NA
"9"	"TYW1"	55253	1273	"TYW1"	"ENSG00000198874"	"7"
"10"	"LOC84856"	84856	1224	"LINC00839"	"ENSG00000185904"	"10"
"11"	"C2orf74"	339804	1219	"C2orf74"	"ENSG00000237651"	"2"
"12"	"ZNF781"	163115	1160	"ZNF781"	"ENSG00000196381"	"19"
"13"	"ZSCAN23"	222696	1073	"ZSCAN23"	"ENSG00000187987"	"6"
"14"	"NUDT2"	318	1056	"NUDT2"	"ENSG00000164978"	"9"
"15"	"GYPE"	2996	1031	"GYPE"	"ENSG00000197465"	"4"
"16"	"WFDC3"	140686	1006	"WFDC3"	"ENSG00000124116"	"20"
"17"	"MANBA"	4126	964	"MANBA"	"ENSG00000109323"	"4"
"18"	"C10orf32"	119032	963	"BORCS7"	"ENSG00000166275"	"10"
"19"	"CCDC163P"	126661	962	"CCDC163"	"ENSG00000280670"	"1"
"20"	"LOC493754"	493754	955	NA	NA	NA
"21"	"TSGA10"	80705	937	"TSGA10"	"ENSG00000135951"	"2"
"22"	"INTS4L1"	285905	919	"INTS4P1"	"ENSG00000164669"	"7"
"23"	"MASTL"	84930	852	"MASTL"	"ENSG00000120539"	"10"
"24"	"AHSA2"	130872	850	"AHSA2P"	"ENSG00000173209"	"2"
"25"	"LIPT1"	51601	844	"LIPT1"	"ENSG00000144182"	"2"
