"Gene_symbol"	"Entrez_ID"	"Value_count"	"ensembl_gene_id"	"entrezgene_id"	"chromosome_name"
"1"	"CCT6P1"	643253	1930	"ENSG00000228409"	NA	"7"
"2"	"STAG3L4"	64940	1805	"ENSG00000106610"	64940	"7"
"3"	"STAG3L4"	64940	1805	"ENSG00000106610"	101929736	"7"
"4"	"ZNF117"	51351	1668	"ENSG00000152926"	51351	"7"
"5"	"ZNF117"	51351	1668	"ENSG00000152926"	109504726	"7"
"6"	"LOC399744"	399744	1437	NA	NA	NA
"7"	"FAM182B"	728882	1435	"ENSG00000175170"	NA	"20"
"8"	"BTN3A2"	11118	1377	"ENSG00000186470"	11118	"6"
"9"	"LOC168474"	168474	1340	NA	NA	NA
"10"	"GUSBL2"	375513	1290	NA	NA	NA
"11"	"TYW1"	55253	1273	"ENSG00000198874"	55253	"7"
"12"	"LOC84856"	84856	1224	NA	NA	NA
"13"	"C2orf74"	339804	1219	"ENSG00000237651"	339804	"2"
"14"	"ZNF781"	163115	1160	"ENSG00000196381"	163115	"19"
"15"	"ZSCAN23"	222696	1073	"ENSG00000187987"	222696	"6"
"16"	"NUDT2"	318	1056	"ENSG00000164978"	318	"9"
"17"	"GYPE"	2996	1031	"ENSG00000197465"	2996	"4"
"18"	"WFDC3"	140686	1006	"ENSG00000124116"	140686	"20"
"19"	"MANBA"	4126	964	"ENSG00000109323"	4126	"4"
"20"	"C10orf32"	119032	963	NA	NA	NA
"21"	"CCDC163P"	126661	962	NA	NA	NA
"22"	"LOC493754"	493754	955	NA	NA	NA
"23"	"TSGA10"	80705	937	"ENSG00000135951"	80705	"2"
"24"	"INTS4L1"	285905	919	NA	NA	NA
"25"	"MASTL"	84930	852	"ENSG00000120539"	84930	"10"
"26"	"AHSA2"	130872	850	NA	NA	NA
"27"	"LIPT1"	51601	844	"ENSG00000144182"	51601	"2"
"28"	"COL21A1"	81578	844	"ENSG00000124749"	81578	"6"
"29"	"C2orf86"	51057	805	NA	NA	NA
"30"	"CRCP"	27297	797	"ENSG00000241258"	27297	"7"
"31"	"SYT10"	341359	788	"ENSG00000110975"	341359	"12"
"32"	"C21orf57"	54059	775	NA	NA	NA
"33"	"ERAP2"	64167	775	"ENSG00000164308"	64167	"5"
