"Gene_symbol"	"Entrez_ID"	"Value_count"	"hgnc_symbol"	"ensembl_gene_id"	"chromosome_name"
"1"	"FOLH1B"	219595	6069	"FOLH1B"	"ENSG00000134612"	"11"
"2"	"LOC647121"	647121	1732	"EMBP1"	"ENSG00000231752"	"1"
"3"	"BTN3A2"	11118	634	"BTN3A2"	"ENSG00000186470"	"6"
"4"	"RNF5P1"	286140	592	NA	NA	NA
"5"	"ZNF322B"	387328	582	NA	NA	NA
"6"	"TYW1B"	441250	556	"TYW1B"	"ENSG00000277149"	"7"
"7"	"ZFP57"	346171	513	"ZFP57"	"ENSG00000204644"	"6"
"8"	"LOC647288"	647288	433	NA	NA	NA
"9"	"LOC285359"	285359	350	NA	NA	NA
"10"	"KIAA1967"	57805	306	"CCAR2"	"ENSG00000158941"	"8"
"11"	"CNOT7"	29883	303	"CNOT7"	"ENSG00000198791"	"8"
"12"	"XPO7"	23039	283	"XPO7"	"ENSG00000130227"	"8"
"13"	"ERI1"	90459	262	"ERI1"	"ENSG00000104626"	"8"
"14"	"BIN3"	55909	258	"BIN3"	"ENSG00000147439"	"8"
"15"	"INTS10"	55174	253	"INTS10"	"ENSG00000104613"	"8"
"16"	"MCPH1"	79648	250	"MCPH1"	"ENSG00000147316"	"8"
"17"	"TNKS"	8658	246	"TNKS"	"ENSG00000173273"	"8"
"18"	"FKBP9L"	360132	240	"FKBP9P1"	"ENSG00000176826"	"7"
"19"	"VPS37A"	137492	240	"VPS37A"	"ENSG00000155975"	"8"
"20"	"CHMP7"	91782	240	"CHMP7"	"ENSG00000147457"	"8"
"21"	"R3HCC1"	203069	225	"R3HCC1"	"ENSG00000104679"	"8"
"22"	"MTMR9"	66036	218	"MTMR9"	"ENSG00000104643"	"8"
"23"	"FDFT1"	2222	217	"FDFT1"	"ENSG00000079459"	"8"
"24"	"FAM160B2"	64760	213	"FAM160B2"	"ENSG00000158863"	"8"
"25"	"INTS9"	55756	211	"INTS9"	"ENSG00000104299"	"8"
"26"	"REEP4"	80346	206	"REEP4"	"ENSG00000168476"	"8"
"27"	"CCDC25"	55246	195	"CCDC25"	"ENSG00000147419"	"8"
"28"	"NEIL2"	252969	187	"NEIL2"	"ENSG00000154328"	"8"
"29"	"PCM1"	5108	182	"PCM1"	"ENSG00000078674"	"8"
"30"	"ENTPD4"	9583	180	"ENTPD4"	"ENSG00000197217"	"8"
"31"	"ATP6V1B2"	526	179	"ATP6V1B2"	"ENSG00000147416"	"8"
"32"	"POLR3D"	661	179	"POLR3D"	"ENSG00000168495"	"8"
"33"	"PPP2R2A"	5520	173	"PPP2R2A"	"ENSG00000221914"	"8"
"34"	"PINX1"	54984	167	"PINX1"	"ENSG00000254093"	"8"
"35"	"PINX1"	54984	167	"PINX1"	"ENSG00000258724"	"8"
"36"	"LONRF1"	91694	161	"LONRF1"	"ENSG00000154359"	"8"
