"Gene_symbol"	"Entrez_ID"	"Value_count"	"ensembl_gene_id"	"entrezgene_id"	"chromosome_name"
"1"	"FOLH1B"	219595	6069	"ENSG00000134612"	219595	"11"
"2"	"LOC647121"	647121	1732	NA	NA	NA
"3"	"BTN3A2"	11118	634	"ENSG00000186470"	11118	"6"
"4"	"RNF5P1"	286140	592	"ENSG00000253570"	NA	"8"
"5"	"ZNF322B"	387328	582	NA	NA	NA
"6"	"TYW1B"	441250	556	"ENSG00000277149"	441250	"7"
"7"	"ZFP57"	346171	513	"ENSG00000204644"	346171	"6"
"8"	"LOC647288"	647288	433	NA	NA	NA
"9"	"LOC285359"	285359	350	NA	NA	NA
"10"	"KIAA1967"	57805	306	NA	NA	NA
"11"	"CNOT7"	29883	303	"ENSG00000198791"	29883	"8"
"12"	"XPO7"	23039	283	"ENSG00000130227"	23039	"8"
"13"	"ERI1"	90459	262	"ENSG00000104626"	90459	"8"
"14"	"BIN3"	55909	258	"ENSG00000147439"	55909	"8"
"15"	"INTS10"	55174	253	"ENSG00000104613"	55174	"8"
"16"	"MCPH1"	79648	250	"ENSG00000147316"	79648	"8"
"17"	"TNKS"	8658	246	"ENSG00000173273"	8658	"8"
"18"	"FKBP9L"	360132	240	NA	NA	NA
"19"	"VPS37A"	137492	240	"ENSG00000155975"	137492	"8"
"20"	"CHMP7"	91782	240	"ENSG00000147457"	91782	"8"
"21"	"R3HCC1"	203069	225	"ENSG00000104679"	203069	"8"
"22"	"MTMR9"	66036	218	"ENSG00000104643"	66036	"8"
"23"	"FDFT1"	2222	217	"ENSG00000079459"	2222	"8"
"24"	"FAM160B2"	64760	213	"ENSG00000158863"	64760	"8"
"25"	"INTS9"	55756	211	"ENSG00000104299"	55756	"8"
"26"	"REEP4"	80346	206	"ENSG00000168476"	80346	"8"
"27"	"CCDC25"	55246	195	"ENSG00000147419"	55246	"8"
"28"	"NEIL2"	252969	187	"ENSG00000154328"	252969	"8"
"29"	"PCM1"	5108	182	"ENSG00000078674"	5108	"8"
"30"	"ENTPD4"	9583	180	"ENSG00000197217"	9583	"8"
"31"	"ATP6V1B2"	526	179	"ENSG00000147416"	526	"8"
"32"	"POLR3D"	661	179	"ENSG00000168495"	661	"8"
"33"	"PPP2R2A"	5520	173	"ENSG00000221914"	5520	"8"
"34"	"PINX1"	54984	167	"ENSG00000254093"	54984	"8"
"35"	"PINX1"	54984	167	"ENSG00000258724"	54984	"8"
"36"	"LONRF1"	91694	161	"ENSG00000154359"	91694	"8"
"37"	"DCTN6"	10671	161	"ENSG00000104671"	10671	"8"
"38"	"ZNF117"	51351	160	"ENSG00000152926"	51351	"7"
"39"	"ZNF117"	51351	160	"ENSG00000152926"	109504726	"7"
"40"	"WRN"	7486	158	"ENSG00000165392"	7486	"8"
"41"	"TRIM35"	23087	158	"ENSG00000104228"	23087	"8"
"42"	"AGAP7"	653268	157	NA	NA	NA
"43"	"ERICH1"	157697	157	"ENSG00000104714"	157697	"8"
"44"	"MED4"	29079	156	"ENSG00000136146"	29079	"13"
"45"	"KCTD9"	54793	153	"ENSG00000104756"	54793	"8"
"46"	"FBXO25"	26260	152	"ENSG00000147364"	26260	"8"
"47"	"TMEM66"	51669	147	NA	NA	NA
"48"	"CDCA2"	157313	145	"ENSG00000184661"	157313	"8"
"49"	"LEPROTL1"	23484	145	"ENSG00000104660"	23484	"8"
"50"	"AGPAT5"	55326	145	"ENSG00000155189"	55326	"8"
"51"	"C13orf34"	79866	142	NA	NA	NA
"52"	"DIS3"	22894	139	"ENSG00000083520"	22894	"13"
"53"	"SUCLA2"	8803	136	"ENSG00000136143"	8803	"13"
