,Gene_symbol,Entrez_ID,Transcript_Id_1,Transcript_Id_2
0,FBLN2,2199,uc011avb.1,uc011ava.1
1,CD44,960,uc001mvw.2,uc001mvx.2
2,SLC39A14,23516,uc003xbq.3,uc003xbp.3
3,UGP2,7360,uc002scl.2,uc002scm.2
4,IL1R2,7850,uc002tbn.2,uc002tbm.2
5,ISLR,3671,uc002axh.1,uc002axg.1
6,ARHGEF9,23229,uc004dvl.2,uc011mos.1
7,FLNA,2316,uc004fkk.2,uc010nuu.1
8,MYH11,4629,uc002ddy.2,uc002ddw.2
9,CTTN,2017,uc001opv.3,uc001opw.3
10,SRI,6717,uc003ujq.1,uc003ujr.1
11,ATP6V1C2,245973,uc002ras.2,uc002rat.2
12,HKDC1,80201,uc001jpf.3,uc010qje.1
