	Gene_symbol	Entrez_ID	Value_count	ensembl_gene_id	chromosome_name
1	FOLH1B	219595	6069	ENSG00000134612	11
2	LOC647121	647121	1732	ENSG00000231752	1
3	BTN3A2	11118	634	ENSG00000186470	6
6	TYW1B	441250	556	ENSG00000277149	7
7	ZFP57	346171	513	ENSG00000204644	6
10	KIAA1967	57805	306	ENSG00000158941	8
11	CNOT7	29883	303	ENSG00000198791	8
12	XPO7	23039	283	ENSG00000130227	8
13	ERI1	90459	262	ENSG00000104626	8
14	BIN3	55909	258	ENSG00000147439	8
15	INTS10	55174	253	ENSG00000104613	8
16	MCPH1	79648	250	ENSG00000147316	8
17	TNKS	8658	246	ENSG00000173273	8
18	FKBP9L	360132	240	ENSG00000176826	7
19	VPS37A	137492	240	ENSG00000155975	8
20	CHMP7	91782	240	ENSG00000147457	8
21	R3HCC1	203069	225	ENSG00000104679	8
22	MTMR9	66036	218	ENSG00000104643	8
23	FDFT1	2222	217	ENSG00000079459	8
24	FAM160B2	64760	213	ENSG00000158863	8
25	INTS9	55756	211	ENSG00000104299	8
26	REEP4	80346	206	ENSG00000168476	8
27	CCDC25	55246	195	ENSG00000147419	8
28	NEIL2	252969	187	ENSG00000154328	8
29	PCM1	5108	182	ENSG00000078674	8
30	ENTPD4	9583	180	ENSG00000197217	8
31	ATP6V1B2	526	179	ENSG00000147416	8
32	POLR3D	661	179	ENSG00000168495	8
33	PPP2R2A	5520	173	ENSG00000221914	8
36	LONRF1	91694	161	ENSG00000154359	8
37	DCTN6	10671	161	ENSG00000104671	8
38	ZNF117	51351	160	ENSG00000152926	7
39	WRN	7486	158	ENSG00000165392	8
40	TRIM35	23087	158	ENSG00000104228	8
42	ERICH1	157697	157	ENSG00000104714	8
43	MED4	29079	156	ENSG00000136146	13
44	KCTD9	54793	153	ENSG00000104756	8
45	FBXO25	26260	152	ENSG00000147364	8
46	TMEM66	51669	147	ENSG00000133872	8
47	CDCA2	157313	145	ENSG00000184661	8
48	LEPROTL1	23484	145	ENSG00000104660	8
49	AGPAT5	55326	145	ENSG00000155189	8
50	C13orf34	79866	142	ENSG00000136122	13
51	DIS3	22894	139	ENSG00000083520	13
52	SUCLA2	8803	136	ENSG00000136143	13
53	PBK	55872	136	ENSG00000168078	8
54	RNF219	79596	134	ENSG00000152193	13
55	KIAA1704	55425	133	ENSG00000133114	13
56	CDC16	8881	132	ENSG00000130177	13
57	ELP3	55140	131	ENSG00000134014	8
58	ESCO2	157570	131	ENSG00000171320	8
59	GTF2E2	2961	129	ENSG00000197265	8
61	NUFIP1	26747	127	ENSG00000083635	13
62	ARHGEF7	8874	123	ENSG00000102606	13
63	COG3	83548	121	ENSG00000136152	13
64	NDFIP2	54602	120	ENSG00000102471	13
65	UCHL3	7347	119	ENSG00000118939	13
66	TMPPE	643853	118	ENSG00000188167	3
67	MAK16	84549	115	ENSG00000198042	8
68	ZC3H13	23091	115	ENSG00000123200	13
69	TUBGCP3	10426	111	ENSG00000126216	13
70	C13orf23	80209	110	ENSG00000120685	13
71	TFDP1	7027	110	ENSG00000198176	13
72	RBM26	64062	109	ENSG00000139746	13
73	SLC39A14	23516	107	ENSG00000104635	8
74	UTP14C	9724	106	ENSG00000253797	13
75	KPNA3	3839	105	ENSG00000102753	13
76	CUL4A	8451	105	ENSG00000139842	13
77	UFM1	51569	105	ENSG00000120686	13
78	PPP2CB	5516	105	ENSG00000104695	8
79	MRPS31	10240	104	ENSG00000102738	13
80	PPP3CC	5533	104	ENSG00000120910	8
81	PCID2	55795	102	ENSG00000126226	13
82	NUDT15	55270	101	ENSG00000136159	13
83	CLN8	2055	101	ENSG00000182372	8
84	SLC25A37	51312	100	ENSG00000147454	8
85	GTF2F2	2963	99	ENSG00000188342	13
86	CARKD	55739	99	ENSG00000213995	13
87	SUGT1	10910	99	ENSG00000165416	13
88	ZNF828	283489	98	ENSG00000198824	13
89	STK24	8428	98	ENSG00000102572	13
91	C8orf58	541565	97	ENSG00000241852	8
92	DLAT	1737	96	ENSG00000150768	11
93	C8orf41	80185	95	ENSG00000129696	8
94	KBTBD7	84078	95	ENSG00000120696	13
95	UBAC2	337867	94	ENSG00000134882	13
96	PIBF1	10464	94	ENSG00000083535	13
97	WBP4	11193	94	ENSG00000120688	13
98	COG6	57511	93	ENSG00000133103	13
99	PCDH17	27253	92	ENSG00000118946	13
100	VPS36	51028	92	ENSG00000136100	13
101	NBPF14	25832	91	ENSG00000270629	1
102	TIMM8B	26521	91	ENSG00000150779	11
103	TPP2	7174	91	ENSG00000134900	13
104	AASDHPPT	60496	91	ENSG00000149313	11
105	IPO5	3843	90	ENSG00000065150	13
106	XAGE3	170626	90	ENSG00000171402	X
107	HDAC2	3066	90	ENSG00000196591	6
108	COMMD6	170622	89	ENSG00000188243	13
109	TNFRSF10B	8795	88	ENSG00000120889	8
110	SORBS3	10174	87	ENSG00000120896	8
111	TCP1	6950	86	ENSG00000120438	6
112	ZW10	9183	86	ENSG00000086827	11
113	CUL5	8065	86	ENSG00000166266	11
114	ARGLU1	55082	86	ENSG00000134884	13
115	C11orf57	55216	85	ENSG00000150776	11
116	ASAH1	427	85	ENSG00000104763	8
117	ATP5L	10632	84	ENSG00000167283	11
118	ALG9	79796	84	ENSG00000086848	11
119	FAM48A	55578	84	ENSG00000102710	13
120	EXTL3	2137	83	ENSG00000012232	8
121	KBTBD6	89890	82	ENSG00000165572	13
122	LYRM2	57226	82	ENSG00000083099	6
123	BNIP3L	665	82	ENSG00000104765	8
124	EXOC1	55763	82	ENSG00000090989	4
125	CARS2	79587	81	ENSG00000134905	13
126	RNF214	257160	79	ENSG00000167257	11
127	OR2A4	79541	79	ENSG00000180658	6
128	TNFRSF10A	8797	79	ENSG00000104689	8
129	NARS	4677	78	ENSG00000134440	18
130	TXNL1	9352	78	ENSG00000091164	18
131	PHF11	51131	78	ENSG00000136147	13
132	HMBOX1	79618	78	ENSG00000147421	8
133	ORC3L	23595	77	ENSG00000135336	6
134	ZNF202	7753	77	ENSG00000166261	11
135	PSMB1	5689	76	ENSG00000008018	6
136	C13orf1	57213	76	ENSG00000123178	13
137	NPAT	4863	76	ENSG00000149308	11
138	AKAP11	11215	76	ENSG00000023516	13
139	SYNCRIP	10492	76	ENSG00000135316	6
140	UPF3A	65110	76	ENSG00000169062	13
141	EXOSC8	11340	76	ENSG00000120699	13
142	ATG5	9474	76	ENSG00000057663	6
143	SNX14	57231	75	ENSG00000135317	6
144	ZNF395	55893	75	ENSG00000186918	8
145	MTRF1	9617	75	ENSG00000120662	13
146	MRPL18	29074	75	ENSG00000112110	6
147	TGDS	23483	75	ENSG00000088451	13
148	EI24	9538	74	ENSG00000149547	11
149	TBP	6908	74	ENSG00000112592	6
150	TRIM13	10206	74	ENSG00000204977	13
151	CDC40	51362	73	ENSG00000168438	6
152	ABHD13	84945	73	ENSG00000139826	13
153	DDX10	1662	73	ENSG00000178105	11
154	SRPR	6734	73	ENSG00000182934	11
155	DNAJC3	5611	73	ENSG00000102580	13
156	TM9SF2	9375	72	ENSG00000125304	13
157	C1orf144	26099	72	ENSG00000055070	1
158	URB1	9875	71	ENSG00000142207	21
159	BUD13	84811	71	ENSG00000137656	11
160	CEP164	22897	71	ENSG00000110274	11
161	ERCC5	2073	71	ENSG00000134899	13
162	ZNF596	169270	71	ENSG00000172748	8
163	FLJ10661	286042	71	ENSG00000173295	8
164	ZNF90	7643	71	ENSG00000213988	19
165	SDHD	6392	70	ENSG00000204370	11
166	RARS2	57038	70	ENSG00000146282	6
167	CCNC	892	70	ENSG00000112237	6
168	NAA16	79612	70	ENSG00000172766	13
169	SAP18	10284	69	ENSG00000150459	13
170	DHRS12	79758	69	ENSG00000102796	13
171	MRE11A	4361	69	ENSG00000020922	11
172	ALG5	29880	69	ENSG00000120697	13
173	CWC15	51503	68	ENSG00000150316	11
174	ANKRD10	55608	68	ENSG00000088448	13
175	SLC25A15	10166	68	ENSG00000102743	13
176	INTS6	26512	68	ENSG00000102786	13
177	PCMT1	5110	68	ENSG00000120265	6
178	PPP1R3B	79660	68	ENSG00000173281	8
179	FBXL3	26224	68	ENSG00000005812	13
180	ANKRD49	54851	67	ENSG00000168876	11
181	RNGTT	8732	67	ENSG00000111880	6
182	HYLS1	219844	67	ENSG00000198331	11
183	CKAP2	26586	67	ENSG00000136108	13
184	C13orf37	440145	67	ENSG00000204899	13
185	SFRS18	25957	66	ENSG00000132424	6
186	USP45	85015	66	ENSG00000123552	6
187	LAMP1	3916	66	ENSG00000185896	13
188	TIRAP	114609	65	ENSG00000150455	11
189	NUDT18	79873	65	ENSG00000275074	8
