"Gene_symbol"	"ensembl_gene_id"	"entrezgene_id"	"chromosome_name"
"2"	"CTTN"	"ENSG00000085733"	2017	"11"
"3"	"FBLN2"	"ENSG00000163520"	2199	"3"
"4"	"FLNA"	"ENSG00000196924"	2316	"X"
"5"	"ARHGEF9"	"ENSG00000131089"	23229	"X"
"6"	"SLC39A14"	"ENSG00000104635"	23516	"8"
"7"	"ATP6V1C2"	"ENSG00000143882"	245973	"2"
"9"	"ISLR"	"ENSG00000129009"	3671	"15"
"11"	"MYH11"	"ENSG00000133392"	4629	"16"
"12"	"SRI"	"ENSG00000075142"	6717	"7"
"13"	"UGP2"	"ENSG00000169764"	7360	"2"
"14"	"IL1R2"	"ENSG00000115590"	7850	"2"
"15"	"HKDC1"	"ENSG00000156510"	80201	"10"
"16"	"CD44"	"ENSG00000026508"	960	"11"
